"","xaxis","riv_sort","River","site","site2","Reach","year","sex","pop","capture","exuv_m","gcmyr","halfwidth","predflux","obs_exp","wid","Sitemean","site_c_lo","site_c_high","river","Rivermean","riverCIlow","riverCIhigh","gcmyr01","siteyr","flux_50","dep_25","dep_50","dep_75","dep_100","color","exuvia_f_gcmyr","exuvia_m_gcmyr","exuvia_tot","adult_C","adult_P","adult_N","exuvia_C","exuvia_P","exuvia_N","dep_100c","dep_25c","dep_50c","dep_75c","dep_100N","dep_25N","dep_50N","dep_75N","dep_100P","dep_25P","dep_50P","dep_75P"
"1",1,1,"Colorado","Pumphouse","Pump",5,2013,0.54,"17,017.00","0.79",558.3,49.4,17.5,18.4,2.68,35,1.77,1.27,2.27,"Colorado",0.6,0.26,0.95,49.41,"Pumphouse 2013",24.7,2.28703703703704,4.57407407407407,6.86111111111111,9.14814814814815,"raw_data",2.95412,5.60196,8.55608,40.84392,0.329386451612903,6.4831619047619,5.561452,0.0291527725806452,0.573800603174603,13.1251408888889,7.45237422222222,9.34329644444444,11.2342186666667,1.77438614109347,0.873946987654321,1.17409337213404,1.47423975661376,0.0901502636200717,0.0444021453405018,0.0596515181003584,0.074900890860215
"2",2,1,"Colorado","State Bridge","Stat",6,2013,0.56,"10,181.20","0.85",339.4,29.5,16.5,17.4,1.7,33,1.7,1.05,2.34,"Colorado",0.6,0.26,0.95,29.51,"State Bridge 2013",14.75,1.36574074074074,2.73148148148148,4.09722222222222,5.46296296296296,"raw_data",1.6874,3.4692,5.1566,24.3434,0.196317741935484,3.86403174603175,3.35179,0.0175698669354839,0.345819603174603,7.85982703703704,4.47879925925926,5.60580851851852,6.73281777777778,1.06138103762493,0.524709961787184,0.703600320399765,0.882490679012346,0.0539250043309438,0.0266586512843489,0.0357474356332139,0.0448362199820789
"3",3,1,"Colorado","Pumphouse","Pump",5,2014,0.6,"10,885.00","0.84",362.8,30.6,17.5,18.4,1.66,35,1.77,1.27,2.27,"Colorado",0.6,0.26,0.95,30.61,"Pumphouse 2014",15.3,1.41666666666667,2.83333333333333,4.25,5.66666666666667,"raw_data",1.5912,3.8556,5.4468,25.1532,0.202848387096774,3.99257142857143,3.54042,0.0185586532258065,0.365281428571429,8.19842,4.70492,5.86942,7.03392,1.10464650793651,0.550122698412698,0.734963968253968,0.919805238095238,0.0561231693548387,0.0279497822580645,0.0373409112903226,0.0467320403225807
"4",4,1,"Colorado","Byers","Byer",1,2014,0.62,"5,216.50","0.81",173.9,14.4,9.5,10,1.45,19,1.02,0.52,1.52,"Colorado",0.6,0.26,0.95,14.41,"Byers 2014",7.2,0.666666666666667,1.33333333333333,2,2.66666666666667,"raw_data",0.71136,1.87488,2.58624,11.81376,0.0952722580645161,1.8752,1.681056,0.00881198709677419,0.173442285714286,3.86878933333333,2.22798933333333,2.77492266666667,3.321856,0.520701544973545,0.260257100529101,0.347071915343915,0.43388673015873,0.0264549978494624,0.0132227397849462,0.0176334924731183,0.0220442451612903
"5",5,1,"Colorado","Byers","Byer",1,2015,0.6,"4,337.10","0.82",144.6,12.2,9.5,10,1.22,19,1.02,0.52,1.52,"Colorado",0.6,0.26,0.95,12.21,"Byers 2015",6.1,0.564814814814815,1.12962962962963,1.69444444444444,2.25925925925926,"raw_data",0.6344,1.5372,2.1716,10.0284,0.0808741935483871,1.59180952380952,1.41154,0.00739920161290322,0.145635079365079,3.26865111111111,1.87581777777778,2.34009555555556,2.80437333333333,0.440414620811287,0.219329964726631,0.293024850088183,0.366719735449735,0.0223759041218638,0.0111433772401434,0.0148875528673835,0.0186317284946237
"6",6,1,"Colorado","Pumphouse","Pump",5,2015,0.5,"6,014.80","0.86",200.5,18.1,17.5,18.4,0.98,35,1.77,1.27,2.27,"Colorado",0.6,0.26,0.95,18.11,"Pumphouse 2015",9.05,0.837962962962963,1.67592592592593,2.51388888888889,3.35185185185185,"raw_data",1.1765,1.9005,3.077,15.023,0.121153225806452,2.38460317460317,2.00005,0.0104841330645161,0.206354365079365,4.78208703703704,2.69555925925926,3.39106851851852,4.08657777777778,0.647947545561434,0.316752660199882,0.4271509553204,0.537549250440917,0.0329199156212664,0.0160930787037037,0.0217020243428913,0.0273109699820789
"7",7,1,"Colorado","Byers","Byer",1,2013,0.56,"1,390.40","0.81",45.6,4,9.5,10,0.4,19,1.02,0.52,1.52,"Colorado",0.6,0.26,0.95,4.01,"Byers 2013",2,0.185185185185185,0.37037037037037,0.555555555555556,0.740740740740741,"raw_data",0.2288,0.4704,0.6992,3.3008,0.0266193548387097,0.523936507936508,0.45448,0.00238235483870968,0.0468907936507937,1.06573925925926,0.607294814814815,0.76010962962963,0.912924444444444,0.143916072898295,0.071147113462669,0.0954034332745444,0.11965975308642,0.00731186499402628,0.00361473237753883,0.00484710991636798,0.00607948745519713
"8",8,1,"Colorado","Gore Canyon","Gore",7,2012,0.45,"1,933.00","0.77",63.4,4.7,23,24.2,0.2,46,0.2,-0.44,0.85,"Colorado",0.6,0.26,0.95,4.71,"Gore Canyon 2012",2.35,0.217592592592593,0.435185185185185,0.652777777777778,0.87037037037037,"raw_data",0.33605,0.44415,0.7802,3.9198,0.0316112903225806,0.622190476190476,0.50713,0.00265834274193548,0.0523229365079365,1.23301888888889,0.688602222222222,0.870074444444444,1.05154666666667,0.167543395061728,0.0811280511463845,0.109933165784832,0.13873828042328,0.00851228539426523,0.00412182840501792,0.00558531406810036,0.0070487997311828
"9",9,1,"Colorado","Hitching Post","Hitc",2,2014,0.43,"13","0.4",0.4,0,7.3,7.6,0.01,14.5,0,-0.37,0.37,"Colorado",0.6,0.26,0.95,0.01,"Hitching Post 2014",0,0,0,0,0,"raw_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,1,"Colorado","Hwy 40 Bridge","Hwy ",3,2013,0.28,"37.3","0.81",1.2,0.1,11.8,12.4,0.01,23.5,0.01,-0.64,0.65,"Colorado",0.6,0.26,0.95,0.11,"Hwy 40 Bridge 2013",0.05,0.00462962962962963,0.00925925925925926,0.0138888888888889,0.0185185185185185,"raw_data",0.00936,0.00588,0.01524,0.08476,0.000683548387096774,0.0134539682539683,0.009906,5.19266129032258e-05,0.00102204761904762,0.0256022962962963,0.0138300740740741,0.0177541481481481,0.0216782222222222,0.00351352322163433,0.0016449165196943,0.00226778542034098,0.00289065432098765,0.000178509647550777,8.35723715651135e-05,0.000115218130227001,0.000146863888888889
"11",11,1,"Colorado","Powers BLM","Powe",4,2013,0.33,"64.6","0.76",2.2,0.2,17,17.9,0.01,34,0.01,-0.64,0.65,"Colorado",0.6,0.26,0.95,0.21,"Powers BLM 2013",0.1,0.00925925925925926,0.0185185185185185,0.0277777777777778,0.037037037037037,"raw_data",0.01742,0.01386,0.03128,0.16872,0.00136064516129032,0.0267809523809524,0.020332,0.000106579032258065,0.00209774603174603,0.0515764444444444,0.0281431111111111,0.0359542222222222,0.0437653333333333,0.00705718165784833,0.00333760493827161,0.00457746384479718,0.00581732275132275,0.000358550358422939,0.000169571863799283,0.000232564695340502,0.00029555752688172
"12",12,1,"Colorado","Hitching Post","Hitc",2,2013,0.43,"1","1",0,0,7.3,7.6,0,14.5,0,-0.37,0.37,"Colorado",0.6,0.26,0.95,0.01,"Hitching Post 2013",0,0,0,0,0,"raw_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",13,1,"Colorado","Hitching Post","Hitc",8,2012,0.43,"0","N/A",0,0,7.3,7.6,0,14.5,0,-0.37,0.37,"Colorado",0.6,0.26,0.95,0.01,"Hitching Post 2012",0,0,0,0,0,"raw_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",14,1,"Colorado","Hitching Post","Hitc",8,2015,0.43,"1","1",0,0,7.3,7.6,0,14.5,0,-0.37,0.37,"Colorado",0.6,0.26,0.95,0.01,"Hitching Post 2015",0,0,0,0,0,"raw_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",15,2,"North Platte","Six Mile 4","SixM",18,2015,0.69,"507.2","0.9",101.4,11.6,17.5,18.4,0.63,35,0.48,-0.02,0.97,"North Platte",0.48,-0.42,1.39,11.61,"Six Mile 4 2015",5.8,0.537037037037037,1.07407407407407,1.61111111111111,2.14814814814815,"raw_data",0.46748,1.68084,2.14832,9.45168,0.0762232258064516,1.50026666666667,1.396408,0.00731988064516129,0.144073841269841,3.14671911111111,1.83398577777778,2.27156355555556,2.70914133333333,0.421901001763668,0.213530631393298,0.282987421516755,0.352444211640212,0.0214352928315412,0.0108487336917563,0.0143775867383513,0.0179064397849462
"16",16,2,"North Platte","Six Mile 3","SixM",18,2015,0.67,"446.3","0.8",89.3,10.1,17.5,18.4,0.55,35,0.48,-0.02,0.97,"North Platte",0.48,-0.42,1.39,10.11,"Six Mile 3 2015",5.05,0.467592592592593,0.935185185185185,1.40277777777778,1.87037037037037,"raw_data",0.43329,1.42107,1.85436,8.24564,0.0664970967741935,1.30883174603175,1.205334,0.00631828306451613,0.124359857142857,2.73230437037037,1.58707659259259,1.96881918518519,2.35056177777778,0.366736106407995,0.184953919459142,0.245547981775426,0.306142044091711,0.0186325602449223,0.00939685235961768,0.0124754216547192,0.0155539909498208
"17",17,2,"North Platte","Six Mile 2","SixM",18,2015,0.56,"366.7","1",73.3,7.6,17.5,18.4,0.41,35,0.48,-0.02,0.97,"North Platte",0.48,-0.42,1.39,7.61,"Six Mile 2 2015",3.8,0.351851851851852,0.703703703703704,1.05555555555556,1.40740740740741,"raw_data",0.43472,0.89376,1.32848,6.27152,0.0505767741935484,0.995479365079365,0.863512,0.00452647419354839,0.0890925079365079,2.02490459259259,1.15386014814815,1.4442082962963,1.73455644444444,0.273440538506761,0.135179515579071,0.181266523221634,0.227353530864198,0.0138925434886499,0.00686799151732378,0.00920950884109916,0.0115510261648746
"18",18,2,"North Platte","Six Mile 1","SixM",18,2015,0.66,"243.7","0.9",48.7,5.5,17.5,18.4,0.3,35,0.48,-0.02,0.97,"North Platte",0.48,-0.42,1.39,5.51,"Six Mile 1 2015",2.75,0.25462962962963,0.509259259259259,0.763888888888889,1.01851851851852,"raw_data",0.2431,0.7623,1.0054,4.4946,0.0362467741935484,0.713428571428572,0.65351,0.00342565725806452,0.0674256349206349,1.48584333333333,0.861593333333333,1.06967666666667,1.27776,0.199542037037037,0.100454735449735,0.133483835978836,0.166512936507937,0.0101380228494624,0.00510374865591398,0.00678184005376344,0.0084599314516129
"19",19,3,"Gunnison","Ute Park","Ute ",17,2014,0.77,"8,854.70","0.84",295.2,20.6,18,18.9,1.09,36,1.05,0.52,1.58,"Gunnison",0.31,-0.04,0.66,20.61,"Ute Park 2014",10.3,0.953703703703704,1.90740740740741,2.86111111111111,3.81481481481481,"raw_data",0.61594,3.33102,3.94696,16.65304,0.134298709677419,2.64333968253968,2.565524,0.0134483112903226,0.264696920634921,5.6494202962963,3.33649807407407,4.10747214814815,4.87844622222222,0.75420426925338,0.387073757789536,0.50945059494415,0.631827432098765,0.0383184427120669,0.0196658441457587,0.0258833770011947,0.0321009098566308
"20",20,3,"Gunnison","Ute Park","Ute ",17,2013,0.58,"7,205.80","0.89",240.2,19.4,18,18.9,1.03,36,1.05,0.52,1.58,"Gunnison",0.31,-0.04,0.66,19.41,"Ute Park 2013",9.7,0.898148148148148,1.7962962962963,2.69444444444444,3.59259259259259,"raw_data",1.05924,2.36292,3.42216,15.97784,0.128853548387097,2.53616507936508,2.224404,0.0116601822580645,0.229502,5.18326325925926,2.96411881481481,3.70383362962963,4.44354844444444,0.699162199882422,0.346917049970606,0.464332099941211,0.581747149911817,0.0355219504778972,0.0176256243130227,0.0235910663679809,0.0295565084229391
"21",21,3,"Gunnison","Goldmine","Gold",10,2013,0.58,"5,731.70","0.73",191.1,15.4,24,25.2,0.61,48,0.61,-0.04,1.25,"Gunnison",0.31,-0.04,0.66,15.41,"Goldmine 2013",7.7,0.712962962962963,1.42592592592593,2.13888888888889,2.85185185185185,"raw_data",0.84084,1.87572,2.71656,12.68344,0.102285806451613,2.01324444444444,1.765764,0.00925602096774194,0.182182,4.11454918518519,2.3529602962963,2.94015659259259,3.52735288888889,0.55500504526749,0.275387761316872,0.368593522633745,0.461799283950617,0.0281978369772999,0.0139914749701314,0.0187269289725209,0.0234623829749104
"22",22,3,"Gunnison","Chukar","Chuk",11,2013,0.62,"2,907.70","0.89",96.9,7.6,22.5,23.7,0.32,45,0.17,-0.33,0.67,"Gunnison",0.31,-0.04,0.66,7.61,"Chukar 2013",3.8,0.351851851851852,0.703703703703704,1.05555555555556,1.40740740740741,"raw_data",0.37544,0.98952,1.36496,6.23504,0.0502825806451613,0.989688888888889,0.887224,0.00465077096774194,0.0915389841269841,2.04186103703704,1.17588325925926,1.46454251851852,1.75320177777778,0.274814704291593,0.137357914168136,0.183176844209289,0.228995774250441,0.0139623599761051,0.00697866821983274,0.00930656547192354,0.0116344627240143
"23",23,3,"Gunnison","Smith Fork","Smit",16,2013,0.64,"1,478.70","0.78",49.3,3.8,17,17.9,0.21,34,0.21,-0.44,0.85,"Gunnison",0.31,-0.04,0.66,3.81,"Smith Fork 2013",1.9,0.175925925925926,0.351851851851852,0.527777777777778,0.703703703703704,"raw_data",0.17784,0.51072,0.68856,3.11144,0.0250922580645161,0.493879365079365,0.447564,0.00234610161290323,0.0461772380952381,1.02375659259259,0.591612148148148,0.735660296296296,0.879708444444444,0.137636379776602,0.0690420235155791,0.09190680893592,0.114771594356261,0.0069928160692951,0.00350778022700119,0.00466945884109916,0.00583113745519713
"24",24,3,"Gunnison","Cottonwood","Cott",12,2013,0.42,"1,328.60","0.79",44.3,4,21,22.1,0.18,42,0.18,-0.47,0.82,"Gunnison",0.31,-0.04,0.66,4.01,"Cottonwood 2013",2,0.185185185185185,0.37037037037037,0.555555555555556,0.740740740740741,"raw_data",0.3016,0.3528,0.6544,3.3456,0.0269806451612903,0.531047619047619,0.42536,0.00222970967741935,0.0438863492063492,1.04491555555556,0.580248888888889,0.735137777777778,0.890026666666667,0.142228500881834,0.0684718871252205,0.0930574250440917,0.117642962962963,0.00722612544802867,0.00347881362007168,0.00472791756272401,0.00597702150537634
"25",25,3,"Gunnison","Chukar","Chuk",11,2014,0.58,"1,267.80","0.77",42.3,3.4,22.5,23.7,0.14,45,0.17,-0.33,0.67,"Gunnison",0.31,-0.04,0.66,3.41,"Chukar 2014",1.7,0.157407407407407,0.314814814814815,0.472222222222222,0.62962962962963,"raw_data",0.18564,0.41412,0.59976,2.80024,0.0225825806451613,0.44448253968254,0.389844,0.00204353709677419,0.040222,0.908406962962963,0.519484740740741,0.649125481481481,0.778766222222222,0.122533581422693,0.0607998953556731,0.0813777907113463,0.101955686067019,0.00622549647550777,0.00308902694145759,0.00413451678614098,0.00518000663082437
"26",26,3,"Gunnison","Margariaville","Marg",13,2012,0.64,"722.7","0.8",24.1,1.9,13.8,14.5,0.13,27.5,0.13,-0.51,0.78,"Gunnison",0.31,-0.04,0.66,1.91,"Margariaville 2012",0.95,0.087962962962963,0.175925925925926,0.263888888888889,0.351851851851852,"raw_data",0.08892,0.25536,0.34428,1.55572,0.0125461290322581,0.246939682539683,0.223782,0.00117305080645161,0.023088619047619,0.511878296296296,0.295806074074074,0.367830148148148,0.439854222222222,0.068818189888301,0.0345210117577895,0.04595340446796,0.0573857971781305,0.00349640803464755,0.0017538901135006,0.00233472942054958,0.00291556872759857
"27",27,3,"Gunnison","Red Rocks 3","Red ",152,2012,0.67,"992.1","0.8",33.1,2.5,19.3,20.3,0.12,38.5,0.07,-0.4,0.54,"Gunnison",0.31,-0.04,0.66,2.51,"Red Rocks 3 2012",1.25,0.115740740740741,0.231481481481481,0.347222222222222,0.462962962962963,"raw_data",0.10725,0.35175,0.459,2.041,0.0164596774193548,0.323968253968254,0.29835,0.0015639314516129,0.0307821428571429,0.676312962962963,0.392840740740741,0.487331481481481,0.581822222222222,0.0907762639623751,0.0457806731334509,0.060779203409759,0.075777733686067,0.00461201986260454,0.00232595355436081,0.00308797565710872,0.00384999775985663
"28",28,3,"Gunnison","Orchard","Orch",14,2013,0.38,"751.9","0.87",25.1,2.3,21.5,22.6,0.1,43,0.1,-0.55,0.74,"Gunnison",0.31,-0.04,0.66,2.31,"Orchard 2013",1.15,0.106481481481481,0.212962962962963,0.319444444444444,0.425925925925926,"raw_data",0.18538,0.18354,0.36892,1.93108,0.0155732258064516,0.306520634920635,0.239798,0.00125700564516129,0.0247410634920635,0.597405407407407,0.329199851851852,0.418601703703704,0.508003555555556,0.0815041440329218,0.0389318336272781,0.0531226037624926,0.0673133738977072,0.00414093635005974,0.0019779883213859,0.00269897099761051,0.00341995367383512
"29",29,3,"Gunnison","Red Rocks 2","Red ",151,2012,0.55,"590.8","0.7",19.7,1.6,19.3,20.3,0.08,38.5,0.07,-0.4,0.54,"Gunnison",0.31,-0.04,0.66,1.61,"Red Rocks 2 2012",0.8,0.0740740740740741,0.148148148148148,0.222222222222222,0.296296296296296,"raw_data",0.0936,0.1848,0.2784,1.3216,0.010658064516129,0.209777777777778,0.18096,0.000948580645161291,0.0186704761904762,0.425700740740741,0.242145185185185,0.30333037037037,0.364515555555556,0.0575182128159906,0.0283824103468548,0.0380943445032334,0.047806278659612,0.0029222962962963,0.00144200955794504,0.00193543847072879,0.00242886738351254
"30",30,3,"Gunnison","Chukar","Chuk",11,2012,0.62,"516.9","0.8",17.2,1.4,22.5,23.7,0.06,45,0.17,-0.33,0.67,"Gunnison",0.31,-0.04,0.66,1.41,"Chukar 2012",0.7,0.0648148148148148,0.12962962962963,0.194444444444444,0.259259259259259,"raw_data",0.06916,0.18228,0.25144,1.14856,0.00926258064516129,0.182311111111111,0.163436,0.000856720967741936,0.0168624444444444,0.376132296296296,0.216610074074074,0.269784148148148,0.322958222222222,0.0506237613168724,0.0253027736625514,0.0337431028806584,0.0421834320987654,0.00257201367980884,0.00128554414575866,0.00171436732377539,0.00214319050179211
"31",31,3,"Gunnison","Red Rocks 1","Red ",150,2012,0.73,"179.2","0.7",6,0.4,19.3,20.3,0.02,38.5,0.07,-0.4,0.54,"Gunnison",0.31,-0.04,0.66,0.41,"Red Rocks 1 2012",0.2,0.0185185185185185,0.037037037037037,0.0555555555555556,0.0740740740740741,"raw_data",0.01404,0.06132,0.07536,0.32464,0.00261806451612903,0.0515301587301587,0.048984,0.000256770967741935,0.00505390476190476,0.109102518518519,0.0640136296296296,0.0790432592592593,0.0940728888888889,0.0145965267489712,0.00743956025867137,0.00982521575543798,0.0122108712522046,0.000741597729988053,0.000377977658303465,0.000499184348864994,0.000620391039426523
"32",32,4,"Rio Grande","Upper Control 3","Uppe",25,2014,0.6,"13,829.40","0.8",453.7,31,20.1,21.1,1.47,40.1,0.34,0.05,0.63,"Rio Grande",0.15,-0.11,0.41,31.01,"Upper Control 3 2014",15.5,1.43518518518519,2.87037037037037,4.30555555555556,5.74074074074074,"raw_data",1.612,3.906,5.518,25.482,0.2055,4.0447619047619,3.5867,0.01880125,0.370056349206349,8.30558888888889,4.76642222222222,5.94614444444444,7.12586666666667,1.11908633156966,0.557313844797178,0.744571340388007,0.931828835978836,0.0568568055555555,0.0283151388888889,0.0378290277777778,0.0473429166666667
"33",33,4,"Rio Grande","Upper Control 3","Uppe",25,2015,0.6,"8,359.80","0.82",274.3,18.7,20.1,21.1,0.89,40.1,0.34,0.05,0.63,"Rio Grande",0.15,-0.11,0.41,18.71,"Upper Control 3 2015",9.35,0.865740740740741,1.73148148148148,2.59722222222222,3.46296296296296,"raw_data",0.9724,2.3562,3.3286,15.3714,0.123962903225806,2.43990476190476,2.16359,0.0113413991935484,0.22322753968254,5.01014555555555,2.87522888888889,3.58686777777778,4.29850666666667,0.675061754850088,0.336186093474427,0.449144647266314,0.562103201058201,0.0342974923835125,0.0170804224910394,0.0228194457885305,0.0285584690860215
"34",34,4,"Rio Grande","La Garita 2","Gari",21,2011,0.54,"2,509.90","0.48",82.3,5.8,18.6,19.6,0.3,37.2,0.13,-0.16,0.42,"Rio Grande",0.15,-0.11,0.41,5.81,"La Garita 2 2011",2.9,0.268518518518518,0.537037037037037,0.805555555555555,1.07407407407407,"raw_data",0.34684,0.65772,1.00456,4.79544,0.0386729032258065,0.761180952380952,0.652964,0.00342279516129032,0.0673693015873016,1.54100844444444,0.874975111111111,1.09698622222222,1.31899733333333,0.208328737213404,0.102609160493827,0.137849019400353,0.173088878306878,0.01058444390681,0.00521320734767025,0.00700361953405018,0.00879403172043011
"35",35,4,"Rio Grande","Wason Upper 2","WasoU",30,2015,0.61,"2,494.20","0.63",81.8,5.6,19.9,20.9,0.27,39.7,0.09,-0.2,0.38,"Rio Grande",0.15,-0.11,0.41,5.61,"Wason Upper 2 2015",2.8,0.259259259259259,0.518518518518518,0.777777777777778,1.03703703703704,"raw_data",0.28392,0.71736,1.00128,4.59872,0.0370864516129032,0.729955555555556,0.650832,0.00341161935483871,0.0671493333333333,1.50244681481481,0.863735703703704,1.07663940740741,1.28954311111111,0.202326288065844,0.100943572016461,0.134737810699588,0.168532049382716,0.0102794807646356,0.00512858470728793,0.00684555005973716,0.00856251541218638
"36",36,4,"Rio Grande","La Garita 3","Gari",22,2014,0.48,"1,798.80","0.81",59,4.4,18.6,19.6,0.22,37.2,0.13,-0.16,0.42,"Rio Grande",0.15,-0.11,0.41,4.41,"La Garita 3 2014",2.2,0.203703703703704,0.407407407407407,0.611111111111111,0.814814814814815,"raw_data",0.29744,0.44352,0.74096,3.65904,0.0295083870967742,0.5808,0.481624,0.00252464193548387,0.0496913650793651,1.159224,0.651024,0.820424,0.989824,0.157246920634921,0.076580253968254,0.103469142857143,0.130358031746032,0.00798915806451613,0.00389077096774194,0.0052569,0.00662302903225807
